================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 1000000
每次更新步数: 100
更新次数: 10000
图像尺寸: (128, 128)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 5,731,409 (可训练: 5,731,409)

开始训练...

Update 940/10000 | Step 94000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0619 | Value Loss: 0.0044 | SPS: 114 | ETA: 132.5min
Update 950/10000 | Step 95000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.1445 | Value Loss: 0.0453 | SPS: 114 | ETA: 132.3min
Update 960/10000 | Step 96000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0545 | Value Loss: 0.0612 | SPS: 114 | ETA: 132.2min
Update 970/10000 | Step 97000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0140 | Value Loss: 0.0892 | SPS: 114 | ETA: 132.0min
Update 980/10000 | Step 98000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1068 | Value Loss: 0.0665 | SPS: 114 | ETA: 131.9min
Update 990/10000 | Step 99000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1999 | Value Loss: 0.2753 | SPS: 114 | ETA: 131.7min
Update 1000/10000 | Step 100000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.1190 | Value Loss: 0.0592 | SPS: 114 | ETA: 131.6min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1000.pt
Update 1010/10000 | Step 101000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0281 | Value Loss: 0.0445 | SPS: 114 | ETA: 131.4min
Update 1020/10000 | Step 102000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0289 | Value Loss: 0.0848 | SPS: 114 | ETA: 131.3min
Update 1030/10000 | Step 103000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.2388 | Value Loss: 0.1429 | SPS: 114 | ETA: 131.1min
Update 1040/10000 | Step 104000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0297 | Value Loss: 0.0808 | SPS: 114 | ETA: 131.0min
Update 1050/10000 | Step 105000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0168 | Value Loss: 0.0740 | SPS: 114 | ETA: 130.8min
Update 1060/10000 | Step 106000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0057 | Value Loss: 0.0955 | SPS: 114 | ETA: 130.7min
Update 1070/10000 | Step 107000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0545 | Value Loss: 0.2300 | SPS: 114 | ETA: 130.6min
Update 1080/10000 | Step 108000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1584 | Value Loss: 0.2192 | SPS: 114 | ETA: 130.4min
Update 1090/10000 | Step 109000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0577 | Value Loss: 0.2380 | SPS: 114 | ETA: 130.3min
Update 1100/10000 | Step 110000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.1879 | Value Loss: 0.1195 | SPS: 114 | ETA: 130.1min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1100.pt
Update 1110/10000 | Step 111000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0295 | Value Loss: 0.2048 | SPS: 114 | ETA: 130.0min
Update 1120/10000 | Step 112000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0755 | Value Loss: 2.3995 | SPS: 114 | ETA: 129.8min
Update 1130/10000 | Step 113000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0615 | Value Loss: 0.1203 | SPS: 114 | ETA: 129.7min
Update 1140/10000 | Step 114000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1144 | Value Loss: 0.1762 | SPS: 114 | ETA: 129.5min
Update 1150/10000 | Step 115000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0630 | Value Loss: 0.1596 | SPS: 114 | ETA: 129.4min
Update 1160/10000 | Step 116000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1908 | Value Loss: 0.1295 | SPS: 114 | ETA: 129.2min
Update 1170/10000 | Step 117000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0367 | Value Loss: 0.0947 | SPS: 114 | ETA: 129.1min
Update 1180/10000 | Step 118000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1814 | Value Loss: 0.0742 | SPS: 114 | ETA: 128.9min
Update 1190/10000 | Step 119000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0479 | Value Loss: 0.1004 | SPS: 114 | ETA: 128.8min
Update 1200/10000 | Step 120000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.0493 | Value Loss: 0.0564 | SPS: 114 | ETA: 128.7min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1200.pt
Update 1210/10000 | Step 121000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0536 | Value Loss: 0.1016 | SPS: 114 | ETA: 128.5min
