================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 200
更新次数: 50000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 740/50000 | Step 148000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0038 | Value Loss: 0.0585 | SPS: 173 | ETA: 949.1min
Update 750/50000 | Step 150000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0064 | Value Loss: 0.0271 | SPS: 173 | ETA: 948.9min
Update 760/50000 | Step 152000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0013 | Value Loss: 0.1499 | SPS: 173 | ETA: 948.7min
Update 770/50000 | Step 154000/10000000 | Mean Reward: 3.75 | Policy Loss: 0.0003 | Value Loss: 0.1465 | SPS: 173 | ETA: 948.6min
Update 780/50000 | Step 156000/10000000 | Mean Reward: 3.75 | Policy Loss: 0.0008 | Value Loss: 0.0791 | SPS: 173 | ETA: 948.4min
Update 790/50000 | Step 158000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0019 | Value Loss: 0.1067 | SPS: 173 | ETA: 948.2min
Update 800/50000 | Step 160000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0030 | Value Loss: 0.1223 | SPS: 173 | ETA: 948.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_800.pt
Update 810/50000 | Step 162000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0025 | Value Loss: 0.3840 | SPS: 173 | ETA: 947.8min
Update 820/50000 | Step 164000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0037 | Value Loss: 0.3757 | SPS: 174 | ETA: 942.1min
Update 830/50000 | Step 166000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0001 | Value Loss: 0.1836 | SPS: 174 | ETA: 942.0min
Update 840/50000 | Step 168000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0064 | Value Loss: 0.0911 | SPS: 174 | ETA: 941.8min
Update 850/50000 | Step 170000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0047 | Value Loss: 0.1129 | SPS: 174 | ETA: 941.6min
Update 860/50000 | Step 172000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0062 | Value Loss: 0.1064 | SPS: 174 | ETA: 941.4min
Update 870/50000 | Step 174000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0047 | Value Loss: 0.0591 | SPS: 174 | ETA: 941.2min
Update 880/50000 | Step 176000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0027 | Value Loss: 0.0198 | SPS: 174 | ETA: 941.0min
Update 890/50000 | Step 178000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0080 | Value Loss: 0.0234 | SPS: 174 | ETA: 940.8min
Update 900/50000 | Step 180000/10000000 | Mean Reward: 3.75 | Policy Loss: 0.0016 | Value Loss: 0.0161 | SPS: 174 | ETA: 940.6min
  ✓ 保存检查点: checkpoints/ppo_visual_update_900.pt
Update 910/50000 | Step 182000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0043 | Value Loss: 0.0094 | SPS: 174 | ETA: 940.4min
Update 920/50000 | Step 184000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0093 | Value Loss: 0.0313 | SPS: 174 | ETA: 940.2min
Update 930/50000 | Step 186000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0104 | Value Loss: 0.0258 | SPS: 174 | ETA: 940.0min
Update 940/50000 | Step 188000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0069 | Value Loss: 0.0060 | SPS: 174 | ETA: 939.8min
Update 950/50000 | Step 190000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0025 | Value Loss: 0.0099 | SPS: 174 | ETA: 939.7min
Update 960/50000 | Step 192000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0114 | Value Loss: 0.0860 | SPS: 174 | ETA: 939.5min
Update 970/50000 | Step 194000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0080 | Value Loss: 0.0711 | SPS: 175 | ETA: 933.9min
