================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 1000
更新次数: 10000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 1270/10000 | Step 1270000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0010 | Value Loss: 0.0013 | SPS: 174 | ETA: 836.2min
Update 1280/10000 | Step 1280000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0033 | Value Loss: 0.0077 | SPS: 174 | ETA: 835.2min
Update 1290/10000 | Step 1290000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0051 | Value Loss: 0.0018 | SPS: 174 | ETA: 834.3min
Update 1300/10000 | Step 1300000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0059 | Value Loss: 0.0030 | SPS: 174 | ETA: 833.3min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1300.pt
Update 1310/10000 | Step 1310000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0039 | Value Loss: 0.0049 | SPS: 174 | ETA: 832.4min
Update 1320/10000 | Step 1320000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0007 | Value Loss: 0.0007 | SPS: 174 | ETA: 831.4min
Update 1330/10000 | Step 1330000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0022 | Value Loss: 0.0028 | SPS: 174 | ETA: 830.5min
Update 1340/10000 | Step 1340000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0025 | Value Loss: 0.0013 | SPS: 174 | ETA: 829.5min
Update 1350/10000 | Step 1350000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0015 | Value Loss: 0.0019 | SPS: 174 | ETA: 828.5min
Update 1360/10000 | Step 1360000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0024 | Value Loss: 0.0001 | SPS: 174 | ETA: 827.6min
Update 1370/10000 | Step 1370000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0044 | Value Loss: 0.0020 | SPS: 173 | ETA: 831.4min
Update 1380/10000 | Step 1380000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0004 | Value Loss: 0.0014 | SPS: 173 | ETA: 830.4min
Update 1390/10000 | Step 1390000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0053 | Value Loss: 0.0018 | SPS: 173 | ETA: 829.5min
Update 1400/10000 | Step 1400000/10000000 | Mean Reward: 3.80 | Policy Loss: 0.0000 | Value Loss: 0.0015 | SPS: 173 | ETA: 828.5min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1400.pt
Update 1410/10000 | Step 1410000/10000000 | Mean Reward: 3.80 | Policy Loss: 0.0010 | Value Loss: 0.0020 | SPS: 173 | ETA: 827.6min
Update 1420/10000 | Step 1420000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0066 | Value Loss: 0.0012 | SPS: 173 | ETA: 826.6min
Update 1430/10000 | Step 1430000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0036 | Value Loss: 0.0029 | SPS: 173 | ETA: 825.6min
Update 1440/10000 | Step 1440000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0029 | Value Loss: 0.0007 | SPS: 173 | ETA: 824.7min
Update 1450/10000 | Step 1450000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0015 | Value Loss: 0.0018 | SPS: 173 | ETA: 823.7min
Update 1460/10000 | Step 1460000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0032 | Value Loss: 0.0012 | SPS: 172 | ETA: 827.5min
Update 1470/10000 | Step 1470000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0042 | Value Loss: 0.0019 | SPS: 172 | ETA: 826.6min
Update 1480/10000 | Step 1480000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0021 | Value Loss: 0.0009 | SPS: 172 | ETA: 825.6min
Update 1490/10000 | Step 1490000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0021 | Value Loss: 0.0013 | SPS: 172 | ETA: 824.6min
Update 1500/10000 | Step 1500000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0013 | Value Loss: 0.0039 | SPS: 172 | ETA: 823.6min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1500.pt
Update 1510/10000 | Step 1510000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0037 | Value Loss: 0.0017 | SPS: 171 | ETA: 827.5min
Update 1520/10000 | Step 1520000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0015 | Value Loss: 0.0005 | SPS: 171 | ETA: 826.5min
Update 1530/10000 | Step 1530000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0072 | Value Loss: 0.0011 | SPS: 171 | ETA: 825.5min
Update 1540/10000 | Step 1540000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0038 | Value Loss: 0.0044 | SPS: 171 | ETA: 824.6min
Update 1550/10000 | Step 1550000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0065 | Value Loss: 0.0012 | SPS: 171 | ETA: 823.6min
Update 1560/10000 | Step 1560000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0030 | Value Loss: 0.0091 | SPS: 171 | ETA: 822.6min
Update 1570/10000 | Step 1570000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0044 | Value Loss: 0.0045 | SPS: 171 | ETA: 821.6min
Update 1580/10000 | Step 1580000/10000000 | Mean Reward: 3.80 | Policy Loss: 0.0001 | Value Loss: 0.0024 | SPS: 171 | ETA: 820.7min
Update 1590/10000 | Step 1590000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0062 | Value Loss: 0.0007 | SPS: 171 | ETA: 819.7min
Update 1600/10000 | Step 1600000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0048 | Value Loss: 0.0031 | SPS: 171 | ETA: 818.7min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1600.pt
